Device,Time,Type,Longitude,Latitude,File,Bearing,Velocity,Distance,Temperature,Voltage
dev867648043601457,2023-03-21 06:00:33+00:00,gps,5.32755859375,60.3812975,_track.qo,,,,19.1875,3.8457031
dev867648043601457,2023-03-21 06:06:03+00:00,gps,5.32748046875,60.381167500000004,_track.qo,,,,19.3125,3.8476562
dev867648043601457,2023-03-21 06:11:03+00:00,gps,5.32755859375,60.3812025,_track.qo,,,,19.4375,3.8476562
dev867648043601457,2023-03-21 06:16:04+00:00,gps,5.32708203125,60.3810375,_track.qo,,,,19.375,3.8457031
dev867648043601457,2023-03-21 06:21:40+00:00,gps,5.32764453125,60.3810075,_track.qo,,,,19.1875,3.8457031
dev867648043601457,2023-03-21 06:26:36+00:00,gps,5.32733984375,60.381347500000004,_track.qo,,,,19.5625,3.8457031
dev867648043601457,2023-03-21 06:32:05+00:00,gps,5.3276914062500005,60.3812675,_track.qo,,,,19.25,3.8457031
dev867648043601457,2023-03-21 06:37:06+00:00,gps,5.32739453125,60.3812225,_track.qo,,,,19.4375,3.8457031
dev867648043601457,2023-03-21 06:42:32+00:00,gps,5.32769921875,60.3814275,_track.qo,,,,19.25,3.8476562
dev867648043601457,2023-03-21 06:48:05+00:00,gps,5.32838671875,60.3816625,_track.qo,,,,19.125,3.8476562
dev867648043601457,2023-03-21 06:53:30+00:00,gps,5.32760546875,60.3811275,_track.qo,,,,19.4375,3.8457031
dev867648043601457,2023-03-21 06:58:08+00:00,gps,5.32759765625,60.3814275,_track.qo,,,,19.5625,3.8457031
dev867648043601457,2023-03-21 07:03:34+00:00,gps,5.32792578125,60.3810025,_track.qo,,,,19.1875,3.8457031
dev867648043601457,2023-03-21 07:08:41+00:00,gps,5.32764453125,60.3805225,_track.qo,,,,19.5,3.8457031
dev867648043601457,2023-03-21 07:14:13+00:00,gps,5.32756640625,60.3815225,_track.qo,,,,19.25,3.8457031
dev867648043601457,2023-03-21 07:19:24+00:00,gps,5.3272070312499995,60.3804425,_track.qo,,,,19.375,3.8457031
dev867648043601457,2023-03-21 07:24:34+00:00,gps,5.32750390625,60.3818975,_track.qo,,,,19.375,3.8457031
dev867648043601457,2023-03-21 07:29:44+00:00,gps,5.32727734375,60.3804625,_track.qo,,,,19.6875,3.8457031
dev867648043601457,2023-03-21 07:35:05+00:00,gps,5.32742578125,60.3813625,_track.qo,,,,19.0625,3.8476562
dev867648043601457,2023-03-21 07:40:15+00:00,gps,5.32732421875,60.381367499999996,_track.qo,,,,19.375,3.8476562
dev867648043601457,2023-03-21 07:45:35+00:00,gps,5.32722265625,60.3814875,_track.qo,,,,19.25,3.8476562
dev867648043601457,2023-03-21 07:50:46+00:00,gps,5.32760546875,60.381352500000006,_track.qo,,,,19.6875,3.8476562
dev867648043601457,2023-03-21 07:56:15+00:00,gps,5.32742578125,60.3814325,_track.qo,,,,19.4375,3.8476562
dev867648043601457,2023-03-21 08:01:14+00:00,gps,5.32749609375,60.3805675,_track.qo,,,,19.25,3.8457031
dev867648043601457,2023-03-21 08:06:52+00:00,gps,5.32762109375,60.3809425,_track.qo,,,,19.3125,3.8457031
dev867648043601457,2023-03-21 08:11:43+00:00,gps,5.32709765625,60.3808625,_track.qo,,,,19.5,3.8457031
dev867648043601457,2023-03-21 08:17:10+00:00,gps,5.32846484375,60.3810275,_track.qo,,,,19.25,3.8457031
dev867648043601457,2023-03-21 08:22:20+00:00,gps,5.32775390625,60.381167500000004,_track.qo,,,,19.3125,3.8457031
dev867648043601457,2023-03-21 08:27:36+00:00,gps,5.32784765625,60.3809625,_track.qo,,,,19.1875,3.8457031
dev867648043601457,2023-03-21 08:33:06+00:00,gps,5.32833984375,60.3809175,_track.qo,,,,19.0625,3.8457031
dev867648043601457,2023-03-21 08:38:07+00:00,gps,5.32691796875,60.3805075,_track.qo,,,,19.375,3.8457031
