Device,Time,Type,Longitude,Latitude,File,Bearing,Velocity,Distance,Temperature,Voltage
dev867648043599644,2023-03-21 07:48:48+00:00,gps,5.33878515625,60.3855725,_track.qo,,,,21.5,4.5273438
dev867648043599644,2023-03-21 07:48:53+00:00,gps,5.33878515625,60.3855725,_track.qo,249.35004,0.048346832,0.24173416,21.5,4.5273438
dev867648043599644,2023-03-21 07:51:54+00:00,gps,5.33880078125,60.3855875,_track.qo,20.05177,0.011008642,1.9925642,25.8125,4.5273438
dev867648043599644,2023-03-21 07:51:59+00:00,gps,5.3388085937500005,60.3855825,_track.qo,147.93587,0.23530416,1.1765208,25.8125,4.5273438
dev867648043599644,2023-03-21 07:52:57+00:00,gps,5.33879296875,60.3855675,_track.qo,211.96715,0.029943105,1.7367002,25.8125,4.515625
dev867648043599644,2023-03-21 07:53:44+00:00,gps,5.3388085937500005,60.3855425,_track.qo,,,,25.8125,4.515625
dev867648043599644,2023-03-21 08:17:54+00:00,gps,5.33966796875,60.3849625,_track.qo,,,,17.25,4.515625
dev867648043599644,2023-03-21 08:17:59+00:00,gps,5.33956640625,60.3849475,_track.qo,255.96214,1.1781279,5.89064,17.25,4.515625
dev867648043599644,2023-03-21 08:18:04+00:00,gps,5.33946484375,60.3848725,_track.qo,214.58562,2.0390077,10.195038,17.25,4.515625
dev867648043599644,2023-03-21 08:19:02+00:00,gps,5.33939453125,60.3845375,_track.qo,185.6,0.6474133,37.549973,17.25,4.515625
dev867648043599644,2023-03-21 08:19:59+00:00,gps,5.33943359375,60.384532500000006,_track.qo,100.79632,0.03888001,2.2161605,17.25,4.515625
dev867648043599644,2023-03-21 08:32:49+00:00,gps,5.33987109375,60.383902500000005,_track.qo,,,,16.3125,4.4609375
dev867648043599644,2023-03-21 08:32:54+00:00,gps,5.33975390625,60.3838575,_track.qo,232.53725,1.5855927,7.9279637,16.3125,4.4609375
dev867648043599644,2023-03-21 08:33:52+00:00,gps,5.33880078125,60.3831875,_track.qo,215.18031,1.5730249,91.23544,16.3125,4.4609375
dev867648043599644,2023-03-21 08:34:28+00:00,gps,5.3382070312500005,60.3828475,_track.qo,221.0988,1.3834015,49.802452,16.3125,4.4609375
dev867648043599644,2023-03-21 08:35:26+00:00,gps,5.33735546875,60.38247750000001,_track.qo,228.47704,1.0729178,62.229233,19.375,4.4609375
dev867648043599644,2023-03-21 08:36:30+00:00,gps,5.33639453125,60.3819175,_track.qo,220.43158,1.2793518,81.87852,19.375,4.4609375
dev867648043599644,2023-03-21 08:37:28+00:00,gps,5.33572265625,60.3814075,_track.qo,213.12547,1.1649725,67.568405,19.375,4.4648438
dev867648043599644,2023-03-21 08:38:26+00:00,gps,5.33507421875,60.380932500000014,_track.qo,213.60107,1.0996583,63.78018,19.375,4.4648438
dev867648043599644,2023-03-21 08:39:29+00:00,gps,5.3345273437500005,60.3806875,_track.qo,228.40587,0.6426571,40.487396,19.375,4.4648438
